sampleID_FIELD	trapID	sampleID_LAB	biomass_grams	placing_user	placing_time	placing_date	collecting_user	collecting_time	collecting_date	duration_min	trap_condition_collection	processing_group	sample_accession_ENA	sample_status
S1UHP6	TUP4R5	H201077	2.0614	Tsimanampesotse	07:00:37_AM	13/11/2019	Tsimanampesotse	06:41:48_AM	20/11/2019	10061	poor	Sweden	ERS16375279	sample processed and sequenced
SUQMTY	TG1QMA	H201078	0.2304	Kirindy	12:55:35_AM	23/7/2020	Kirindy	09:06:32_PM	29/7/2020	9851	good	Sweden	ERS16375634	sample processed and sequenced
SF8B9C	TR4LDL	H201079	1.2494	Mahavavy	02:12:44_AM	6/5/2020	Mahavavy	03:33:00_PM	13/5/2020	10880	good	Sweden	ERS16375396	sample processed and sequenced
SEKTGS	TIPGKX	H201080	4.0504	Cap_Sainte Marie	04:57:12_PM	23/10/2019	Cap_Sainte Marie	07:14:52_AM	30/10/2019	9498	good	Sweden	ERS16375388	sample processed and sequenced
SVEWBI	T6UDMB	H201081	1.5684	Mikea	05:08:21_AM	18/9/2019	Mikea	06:08:57_AM	25/9/2019	10141	good	Sweden	ERS16375642	sample processed and sequenced
SXLHHD	TRGIDB	H201082	3.2634	Mananara	12:00:02_PM	25/9/2019	Mananara	12:00:00_PM	2/10/2019	10080	good	Sweden	ERS16375687	sample processed and sequenced
SQPIFE	THI5PX	H201083	2.3204	Analamerana	10:00:00_AM	17/6/2020	Analamerana	10:00:00_AM	1/7/2020	20160	good	Sweden	ERS16375558	sample processed and sequenced
SLCB2P	TZJWN3	H201088	2.4514	Betampona	10:10:00_PM	29/7/2020	Betampona	11:00:00_PM	5/8/2020	10130	good	Sweden	ERS16375485	sample processed and sequenced
S3MU7D	THGFVB	H201089	1.9834	Mahabo	10:04:29_AM	24/6/2020	Mahabo	10:18:43_AM	1/7/2020	10094	acceptable	Sweden	ERS16375294	sample processed and sequenced
SXZQLD	TUP4R5	H201090	2.4744	Tsimanampesotse	10:38:00_AM	21/8/2019	Tsimanampesotse	07:27:04_AM	28/8/2019	9889	good	Sweden	ERS16375690	sample processed and sequenced
STGR6Z	TUP4R5	H201091	3.4114	Tsimanampesotse	06:24:25_AM	16/10/2019	Tsimanampesotse	07:00:57_AM	23/10/2019	10117	good	Sweden	ERS16375613	sample processed and sequenced
S2VDVS	TUP4R5	H201092	3.8724	Tsimanampesotse	12:05:00_PM	15/1/2020	Tsimanampesotse	12:00:00_PM	22/1/2020	10075	good	Sweden	ERS16375286	sample processed and sequenced
SKS6UM	TRA8W1	H201093	2.0684	Marojejy	10:38:26_PM	11/3/2020	Marojejy	11:07:06_PM	18/3/2020	10109	good	Sweden	ERS16375477	sample processed and sequenced
SPVTQ7	TP2FUA	H201094	1.9094	Kirindy	09:44:00_AM	4/3/2020	Kirindy	09:45:00_AM	11/3/2020	10081	good	Sweden	ERS16375542	sample processed and sequenced
SERECT	THYGHQ	H201095	1.9244	Kirindy_Mitea	05:38:28_AM	21/8/2019	Kirindy_Mitea	04:34:24_AM	28/8/2019	10016	good	Sweden	ERS16375392	sample processed and sequenced
S6CAPY	TYBVPP	H201096	0.3704	Bezaha	09:56:08_AM	12/2/2020	Bezaha	06:39:20_AM	19/2/2020	9883	poor	Sweden	ERS16375035	sample processed and sequenced
S6GUTZ	TRKQU5	H201105	1.7464	Ankarana	06:30:19_AM	1/7/2020	Ankarana	06:42:38_AM	8/7/2020	10092	good	Sweden	ERS16375037	sample processed and sequenced
SQTPJB	TAVVN5	H201106	2.1254	Montagne_d'Ambre	08:30:01_PM	5/2/2020	Montagne_d'Ambre	07:39:07_PM	12/2/2020	10029	good	Sweden	ERS16375186	sample processed and sequenced
S1XMCP	TAHDZD	H201107	2.3604	Marojejy	10:28:29_PM	8/1/2020	Marojejy	09:35:39_PM	15/1/2020	10027	good	Sweden	ERS16375016	sample processed and sequenced
SJT7L3	TE8SYJ	H201097	2.8514	Tsimanampesotse	08:35:14_AM	29/4/2020	Tsimanampesotse	07:43:15_AM	6/5/2020	10028	good	Sweden	ERS16375143	sample processed and sequenced
SWU3AI	T6UDMB	H201098	0.9404	Mikea	12:00:00_PM	21/8/2019	Mikea	12:00:00_PM	28/8/2019	10080	good	Sweden	ERS16375247	sample processed and sequenced
SINUSG	TGRG5T	H201099	0.7484	Andohahela	06:30:38_AM	18/9/2019	Andohahela	07:18:04_AM	25/9/2019	10127	good	Sweden	ERS16375137	sample processed and sequenced
SCDSZF	TQCQRI	H201100	3.6264	Ankarafantsika	04:30:56_AM	18/9/2019	Ankarafantsika	04:13:25_AM	25/9/2019	10062	good	Sweden	ERS16375080	sample processed and sequenced
SLYAMJ	T6UDMB	H201101	2.4944	Mikea	03:11:31_AM	11/3/2020	Mikea	03:37:11_AM	18/3/2020	10106	good	Sweden	ERS16375153	sample processed and sequenced
SMMLIY	TRJZGH	H201102	2.4954	Marojejy	08:08:16_PM	12/2/2020	Marojejy	08:11:34_PM	19/2/2020	10083	good	Sweden	ERS16375160	sample processed and sequenced
SJAESF	TKRH5P	H201103	1.4434	Namoroka	10:00:00_AM	1/7/2020	Namoroka	09:00:00_AM	8/7/2020	10020	good	Sweden	ERS16375139	sample processed and sequenced
SFWGMC	TE8SYJ	H201104	3.3264	Tsimanampesotse	07:48:22_AM	8/4/2020	Tsimanampesotse	09:15:00_AM	15/4/2020	10167	good	Sweden	ERS16375108	sample processed and sequenced
SV9QHL	TRKQU5	H201108	2.2184	Ankarana	05:58:33_AM	8/1/2020	Ankarana	05:58:45_AM	15/1/2020	10080	good	Sweden	ERS16375227	sample processed and sequenced
SWKWGZ	TK4SS2	H201117	0.5124	Bekopaka	03:10:09_PM	23/10/2019	Bekopaka	03:24:20_PM	30/10/2019	10094	good	Sweden	ERS16375244	sample processed and sequenced
SWBT4W	TP2FUA	H201118	1.4584	Kirindy	09:10:00_AM	1/7/2020	Kirindy	08:25:03_PM	8/7/2020	10755	good	Sweden	ERS16375241	sample processed and sequenced
SAFITC	TIPGKX	H201119	1.9724	Cap_Sainte Marie	04:45:55_PM	28/8/2019	Cap_Sainte Marie	04:15:03_PM	4/9/2019	10049	good	Sweden	ERS16375061	sample processed and sequenced
SHQSAE	TK1MIJ	H201109	1.6294	Daraina	05:09:00_PM	4/3/2020	Daraina	02:00:00_PM	11/3/2020	9891	good	Sweden	ERS16375129	sample processed and sequenced
SBGQWI	TPSMAA	H201110	4.0824	Ambohitantely	09:59:32_AM	12/2/2020	Ambohitantely	05:22:31_AM	19/2/2020	9803	good	Sweden	ERS16375069	sample processed and sequenced
SVS5AM	TPSMAA	H201111	2.5134	Ambohitantely	04:43:26_AM	4/3/2020	Ambohitantely	06:54:27_AM	11/3/2020	10211	good	Sweden	ERS16375236	sample processed and sequenced
S1RF5W	TRKQU5	H201112	1.6344	Ankarana	07:42:11_AM	4/3/2020	Ankarana	06:24:33_AM	11/3/2020	10002	good	Sweden	ERS16375015	sample processed and sequenced
SQNUKZ	TKRH5P	H201113	1.8544	Namoroka	04:08:15_AM	3/6/2020	Namoroka	04:42:10_AM	10/6/2020	10114	good	Sweden	ERS16375185	sample processed and sequenced
SWLGLC	TRKQU5	H201114	0.7514	Ankarana	06:05:01_PM	18/9/2019	Ankarana	04:16:35_PM	25/9/2019	9972	good	Sweden	ERS16375245	sample processed and sequenced
SSRTVS	TPSMAA	H201115	1.6454	Ambohitantely	05:35:02_AM	5/2/2020	Ambohitantely	09:59:17_AM	12/2/2020	10344	good	Sweden	ERS16375200	sample processed and sequenced
STC8TF	TIPGKX	H201116	1.7704	Cap_Sainte Marie	03:58:22_PM	25/9/2019	Cap_Sainte Marie	12:27:42_PM	2/10/2019	9869	good	Sweden	ERS16375205	sample processed and sequenced
S3FIIX	TP2FUA	H201120	3.1784	Kirindy	03:30:00_PM	27/5/2020	Kirindy	04:40:00_PM	3/6/2020	10150	good	Sweden	ERS16375021	sample processed and sequenced
SYAZFW	THYGHQ	H201129	2.2974	Kirindy_Mitea	07:10:00_AM	22/7/2020	Kirindy_Mitea	09:00:00_PM	29/7/2020	10910	good	Sweden	ERS16375259	sample processed and sequenced
SURCJP	TEGSKQ	H201130	1.5884	Ambatovy	07:35:47_AM	21/8/2019	Ambatovy	04:30:25_AM	28/8/2019	9895	good	Sweden	ERS16375219	sample processed and sequenced
SP9BVT	TIPGKX	H201131	0.4824	Cap_Sainte Marie	05:10:00_PM	24/6/2020	Cap_Sainte Marie	04:05:00_PM	1/7/2020	10015	good	Sweden	ERS16375172	sample processed and sequenced
SVI9PY	TEGSKQ	H201121	6.2704	Ambatovy	11:05:03_AM	8/1/2020	Ambatovy	10:41:56_AM	15/1/2020	10057	good	Sweden	ERS16375230	sample processed and sequenced
SYV1LK	TUAPDE	H201122	2.4564	Montagne_d'Ambre	08:34:20_AM	3/6/2020	Montagne_d'Ambre	08:40:31_AM	10/6/2020	10086	poor	Sweden	ERS16375266	sample processed and sequenced
S4A6RD	TQKQRH	H201123	2.9594	Masoala	11:09:00_AM	22/7/2020	Masoala	10:53:00_AM	29/7/2020	10064	good	Sweden	ERS16375029	sample processed and sequenced
SE9XF4	TK4SS2	H201124	1.5464	Bekopaka	01:49:13_PM	13/11/2019	Bekopaka	04:22:35_PM	20/11/2019	10233	good	Sweden	ERS16375093	sample processed and sequenced
SBGZWV	TEGSKQ	H201125	3.6394	Ambatovy	08:05:00_AM	5/2/2020	Ambatovy	08:00:00_AM	12/2/2020	10075	good	Sweden	ERS16375070	sample processed and sequenced
SBR7PM	TEGSKQ	H201126	1.6494	Ambatovy	03:10:00_PM	6/5/2020	Ambatovy	03:05:00_PM	13/5/2020	10075	good	Sweden	ERS16375074	sample processed and sequenced
SWZHC8	TQCQRI	H201127	7.8334	Ankarafantsika	02:00:00_PM	11/12/2019	Ankarafantsika	06:34:28_AM	18/12/2019	9634	good	Sweden	ERS16375251	sample processed and sequenced
SHBVER	TEE8KA	H201128	2.6534	Analalava	11:43:57_AM	28/8/2019	Analalava	10:38:18_AM	4/9/2019	10014	good	Sweden	ERS16375125	sample processed and sequenced
SHQ6N3	TK4SS2	H201132	3.3984	Bekopaka	04:23:12_PM	20/11/2019	Bekopaka	01:38:47_PM	27/11/2019	9916	good	Sweden	ERS16375128	sample processed and sequenced
SUUCRY	TUP4R5	H201141	6.1174	Tsimanampesotse	07:32:51_AM	25/9/2019	Tsimanampesotse	06:35:34_AM	2/10/2019	10023	good	Sweden	ERS16375220	sample processed and sequenced
SE19K8	TRA8W1	H201142	3.8354	Marojejy	09:49:01_PM	29/4/2020	Marojejy	09:21:45_PM	6/5/2020	10053	good	Sweden	ERS16375090	sample processed and sequenced
SRRNCH	TRJZGH	H201143	2.6244	Marojejy	06:54:56_PM	13/11/2019	Marojejy	07:54:51_PM	20/11/2019	10140	good	Sweden	ERS16375191	sample processed and sequenced
STY9CA	TIPGKX	H201133	2.0144	Cap_Sainte Marie	04:24:49_PM	21/8/2019	Cap_Sainte Marie	04:45:38_PM	28/8/2019	10101	good	Sweden	ERS16375214	sample processed and sequenced
S1BEFY	TIPGKX	H201134	1.0644	Cap_Sainte Marie	05:15:28_PM	18/9/2019	Cap_Sainte Marie	03:57:38_PM	25/9/2019	10002	good	Sweden	ERS16375012	sample processed and sequenced
SJBGPF	THYGHQ	H201135	2.1654	Kirindy_Mitea	03:33:13_AM	27/5/2020	Kirindy_Mitea	03:44:58_AM	3/6/2020	10092	good	Sweden	ERS16375140	sample processed and sequenced
SPCSX3	TNKTYG	H201136	2.2164	Montagne_d'Ambre	07:59:39_PM	4/3/2020	Montagne_d'Ambre	07:01:35_PM	11/3/2020	10022	good	Sweden	ERS16375173	sample processed and sequenced
SBQ7VF	TRA8W1	H201137	4.0724	Marojejy	09:22:06_PM	6/5/2020	Marojejy	10:46:00_PM	13/5/2020	10164	good	Sweden	ERS16375073	sample processed and sequenced
SGDQGH	TNKTYG	H201138	3.5924	Montagne_d'Ambre	08:30:00_AM	20/11/2019	Montagne_d'Ambre	02:00:00_PM	27/11/2019	10410	good	Sweden	ERS16375113	sample processed and sequenced
SXXZ2T	TYBVPP	H201139	1.7104	Bezaha	10:10:00_PM	22/7/2020	Bezaha	09:00:00_PM	29/7/2020	10010	good	Sweden	ERS16375256	sample processed and sequenced
SUWGHV	TXS3QU	H201140	1.4504	Marojejy	06:15:00_PM	24/6/2020	Marojejy	10:50:00_AM	1/7/2020	9635	good	Sweden	ERS16375223	sample processed and sequenced
S872QP	THYGHQ	H201144	2.6134	Kirindy_Mitea	01:44:30_AM	12/2/2020	Kirindy_Mitea	01:40:32_AM	19/2/2020	10076	good	Sweden	ERS16375048	sample processed and sequenced
S9Q6XF	TUAPDE	H201153	1.1494	Montagne_d'Ambre	10:20:00_AM	1/4/2020	Montagne_d'Ambre	10:19:00_AM	8/4/2020	10079	good	Sweden	ERS16375058	sample processed and sequenced
SYEBZB	TRGIDB	H201154	4.2914	Mananara	12:00:10_PM	20/11/2019	Mananara	12:00:10_PM	27/11/2019	10080	good	Sweden	ERS16375260	sample processed and sequenced
SFE1ZF	TEGSKQ	H201155	4.2744	Ambatovy	08:05:00_AM	12/2/2020	Ambatovy	07:00:00_AM	19/2/2020	10015	good	Sweden	ERS16375101	sample processed and sequenced
S7T6AP	TZJWN3	H201145	3.2064	Betampona	02:54:43_AM	16/10/2019	Betampona	02:55:48_AM	23/10/2019	10081	good	Sweden	ERS16375043	sample processed and sequenced
SWFS4Q	TAHDZD	H201148	1.0634	Marojejy	09:49:47_PM	8/4/2020	Marojejy	10:27:38_PM	15/4/2020	10118	good	Sweden	ERS16375242	sample processed and sequenced
SBM3JB	TRKQU5	H201149	3.9854	Ankarana	05:48:51_AM	11/12/2019	Ankarana	06:03:39_AM	18/12/2019	10095	good	Sweden	ERS16375071	sample processed and sequenced
STBTYZ	TRGIDB	H201150	0.9434	Mananara	02:00:00_PM	15/1/2020	Mananara	02:00:00_PM	22/1/2020	10080	good	Sweden	ERS16375204	sample processed and sequenced
STCUCC	TZJWN3	H201151	0.9844	Betampona	03:45:25_AM	18/9/2019	Betampona	03:23:30_AM	25/9/2019	10058	good	Sweden	ERS16375206	sample processed and sequenced
SZQDZK	TDKTHY	H201152	6.2594	Maromizaha	06:01:36_AM	13/11/2019	Maromizaha	05:07:54_AM	20/11/2019	10026	good	Sweden	ERS16375274	sample processed and sequenced
SYQQUL	TUAPDE	H201156	2.5014	Montagne_d'Ambre	08:16:40_PM	8/4/2020	Montagne_d'Ambre	08:17:00_PM	15/4/2020	10080	poor	Sweden	ERS16375264	sample processed and sequenced
S2FT3W	TRA8W1	H201165	2.9514	Marojejy	10:45:20_PM	15/1/2020	Marojejy	08:16:09_PM	22/1/2020	9931	good	Sweden	ERS16375018	sample processed and sequenced
SFICM6	TK4SS2	H201166	2.3074	Bekopaka	08:18:15_AM	11/12/2019	Bekopaka	11:45:02_AM	18/12/2019	10287	good	Sweden	ERS16375103	sample processed and sequenced
SG3MYB	TGRG5T	H201167	0.4954	Andohahela	12:00:00_PM	25/9/2019	Andohahela	06:16:02_AM	2/10/2019	9736	good	Sweden	ERS16375111	sample processed and sequenced
SGLMFF	TN1QSL	H201157	1.6064	Baie	08:12:00_AM	22/7/2020	Baie	08:50:00_AM	29/7/2020	10118	good	Sweden	ERS16375115	sample processed and sequenced
S3UVGT	TNQVM4	H201158	2.2184	Masoala	02:05:00_PM	12/2/2020	Masoala	02:00:00_PM	19/2/2020	10075	good	Sweden	ERS16375026	sample processed and sequenced
SEHJJS	TUAPDE	H201159	1.5864	Montagne_d'Ambre	08:19:18_PM	4/3/2020	Montagne_d'Ambre	08:26:11_PM	11/3/2020	10087	good	Sweden	ERS16375095	sample processed and sequenced
SH23WD	THI5PX	H201160	4.3014	Analamerana	02:00:00_PM	15/1/2020	Analamerana	03:30:57_AM	22/1/2020	9451	good	Sweden	ERS16375121	sample processed and sequenced
SDC6SX	TG6SK4	H201161	2.9304	Lokobe	07:31:31_AM	8/1/2020	Lokobe	07:16:10_AM	15/1/2020	10065	good	Sweden	ERS16375085	sample processed and sequenced
SRLBPN	TRGIDB	H201162	2.2494	Mananara	12:10:00_PM	18/12/2019	Mananara	12:00:00_PM	25/12/2019	10070	good	Sweden	ERS16375190	sample processed and sequenced
SAA9BV	T9VS8I	H201163	2.7644	Masoala	02:00:00_PM	8/1/2020	Masoala	02:00:00_PM	15/1/2020	10080	good	Sweden	ERS16375060	sample processed and sequenced
S9CLPN	TPSMAA	H201164	1.9474	Ambohitantely	02:27:00_PM	29/7/2020	Ambohitantely	11:05:00_AM	5/8/2020	9878	good	Sweden	ERS16375056	sample processed and sequenced
SMIUXB	TXS3QU	H201168	3.5044	Marojejy	11:02:03_PM	20/11/2019	Marojejy	10:36:17_PM	27/11/2019	10054	good	Sweden	ERS16375158	sample processed and sequenced
SSMNA3	TRKQU5	H201177	7.4754	Ankarana	06:34:45_AM	12/2/2020	Ankarana	06:21:53_AM	19/2/2020	10067	good	Sweden	ERS16375197	sample processed and sequenced
S1LRCD	TAVVN5	H201178	1.4774	Montagne_d'Ambre	06:23:21_PM	11/12/2019	Montagne_d'Ambre	05:00:00_PM	18/12/2019	9997	good	Sweden	ERS16375013	sample processed and sequenced
SGUATJ	TUAPDE	H201179	1.7574	Montagne_d'Ambre	09:48:08_AM	1/7/2020	Montagne_d'Ambre	03:14:32_PM	8/7/2020	10406	poor	Sweden	ERS16375119	sample processed and sequenced
SXQJTX	TXS3QU	H201169	3.7754	Marojejy	12:00:24_AM	16/1/2020	Marojejy	09:24:51_PM	22/1/2020	9924	good	Sweden	ERS16375255	sample processed and sequenced
SVXDT5	TQKQRH	H201170	8.1264	Masoala	02:15:00_AM	11/12/2019	Masoala	02:38:03_AM	18/12/2019	10103	good	Sweden	ERS16375237	sample processed and sequenced
SWWNWD	TP2FUA	H201171	8.6334	Kirindy	01:57:53_AM	15/1/2020	Kirindy	03:53:52_PM	22/1/2020	10916	good	Sweden	ERS16375249	sample processed and sequenced
SSA8KN	TNQVM4	H201172	5.5204	Masoala	10:00:00_AM	24/6/2020	Masoala	10:15:00_AM	1/7/2020	10095	good	Sweden	ERS16375194	sample processed and sequenced
SXQGS1	TUAPDE	H201173	2.5804	Montagne_d'Ambre	07:29:20_PM	12/2/2020	Montagne_d'Ambre	06:58:25_PM	19/2/2020	10049	good	Sweden	ERS16375254	sample processed and sequenced
SGZRAV	TAHDZD	H201174	2.3264	Marojejy	08:44:45_PM	20/11/2019	Marojejy	08:34:16_PM	27/11/2019	10070	good	Sweden	ERS16375120	sample processed and sequenced
SPS9KW	TUAPDE	H201175	5.4454	Montagne_d'Ambre	02:00:00_PM	18/12/2019	Montagne_d'Ambre	08:24:56_PM	25/12/2019	10465	good	Sweden	ERS16375180	sample processed and sequenced
SFVMKF	TGRG5T	H201176	0.4174	Andohahela	11:38:47_AM	23/10/2019	Andohahela	04:59:18_AM	30/10/2019	9681	good	Sweden	ERS16375106	sample processed and sequenced
SFXYEJ	TK4SS2	H201180	1.7694	Bekopaka	07:02:25_AM	12/2/2020	Bekopaka	02:47:24_PM	19/2/2020	10545	good	Sweden	ERS16375109	sample processed and sequenced
SUGWCX	TXS3QU	H201181	3.8674	Marojejy	08:54:37_PM	25/9/2019	Marojejy	07:03:24_PM	2/10/2019	9969	good	Sweden	ERS16375217	sample processed and sequenced
SNHNXX	TRJZGH	H201182	1.2104	Marojejy	08:25:00_PM	21/8/2019	Marojejy	04:28:24_PM	28/8/2019	9843	good	Sweden	ERS16375165	sample processed and sequenced
SW78W6	TUAPDE	H201183	1.7594	Montagne_d'Ambre	08:28:46_PM	15/1/2020	Montagne_d'Ambre	07:11:45_PM	22/1/2020	10003	good	Sweden	ERS16375240	sample processed and sequenced
SR7JKS	TAHDZD	H201184	1.0464	Marojejy	09:42:36_PM	4/3/2020	Marojejy	09:37:14_PM	11/3/2020	10075	good	Sweden	ERS16375189	sample processed and sequenced
SNUC4G	TUAPDE	H201185	3.8934	Montagne_d'Ambre	02:00:00_PM	11/12/2019	Montagne_d'Ambre	04:00:00_PM	18/12/2019	10200	good	Sweden	ERS16375169	sample processed and sequenced
S65CMY	TNKTYG	H201186	4.6884	Montagne_d'Ambre	06:30:53_PM	16/10/2019	Montagne_d'Ambre	07:56:05_PM	23/10/2019	10165	good	Sweden	ERS16375034	sample processed and sequenced
S7KELJ	TK1MIJ	H201187	1.7364	Daraina	12:00:00_PM	21/8/2019	Daraina	12:00:00_PM	28/8/2019	10080	good	Sweden	ERS16375042	sample processed and sequenced
S3AUJP	TUP4R5	H201197	2.9354	Tsimanampesotse	07:37:05_AM	8/4/2020	Tsimanampesotse	08:04:27_AM	15/4/2020	10107	good	Sweden	ERS16375290	sample processed and sequenced
SI7BP8	T9VS8I	H201198	0.3804	Masoala	02:24:00_PM	4/3/2020	Masoala	08:07:00_AM	11/3/2020	9703	good	Sweden	ERS16375437	sample processed and sequenced
SRIYBQ	TRA8W1	H201199	2.3674	Marojejy	10:46:53_PM	4/3/2020	Marojejy	10:38:16_PM	11/3/2020	10071	good	Sweden	ERS16375580	sample processed and sequenced
SDLX2K	TFBCWJ	H201190	2.2614	Tsitongambarika	11:14:41_AM	13/11/2019	Tsitongambarika	09:09:00_AM	20/11/2019	9954	good	Sweden	ERS16375379	sample processed and sequenced
SAP8HW	TFBCWJ	H201191	1.3774	Tsitongambarika	03:05:00_PM	1/7/2020	Tsitongambarika	10:05:00_AM	8/7/2020	9780	good	Sweden	ERS16375341	sample processed and sequenced
SBGMLN	TAVVN5	H201192	1.0914	Montagne_d'Ambre	08:17:27_AM	6/5/2020	Montagne_d'Ambre	07:48:02_AM	14/5/2020	11491	poor	Sweden	ERS16375354	sample processed and sequenced
SMAR4V	TKRH5P	H201193	1.5444	Namoroka	10:00:00_AM	22/7/2020	Namoroka	10:10:00_AM	29/7/2020	10090	good	Sweden	ERS16375499	sample processed and sequenced
SKRL6U	TKRH5P	H201194	2.1994	Namoroka	02:37:57_AM	18/9/2019	Namoroka	01:48:25_AM	25/9/2019	10030	good	Sweden	ERS16375476	sample processed and sequenced
STFHWG	T6UDMB	H201195	2.7714	Mikea	11:28:02_AM	5/3/2020	Mikea	03:11:13_AM	11/3/2020	8143	good	Sweden	ERS16375610	sample processed and sequenced
STSSJR	TG6SK4	H201196	0.3244	Lokobe	10:29:20_AM	1/7/2020	Lokobe	08:37:45_AM	8/7/2020	9968	good	Sweden	ERS16375618	sample processed and sequenced
SDSYML	TUAPDE	H201200	0.6254	Montagne_d'Ambre	08:52:09_AM	22/7/2020	Montagne_d'Ambre	08:06:00_AM	29/7/2020	10034	good	Sweden	ERS16375382	sample processed and sequenced
SQ9KBF	TRJZGH	H201209	1.9494	Marojejy	11:10:00_AM	3/6/2020	Marojejy	11:00:00_AM	10/6/2020	10070	good	Sweden	ERS16375549	sample processed and sequenced
SLZZKQ	TEGSKQ	H201210	3.5804	Ambatovy	04:30:43_AM	28/8/2019	Ambatovy	04:48:36_AM	4/9/2019	10098	good	Sweden	ERS16375498	sample processed and sequenced
SINM88	TFBCWJ	H201211	3.1274	Tsitongambarika	09:11:53_AM	21/11/2019	Tsitongambarika	06:01:51_PM	27/11/2019	9170	good	Sweden	ERS16375441	sample processed and sequenced
SEHLEG	TK1MIJ	H201201	2.8724	Daraina	10:25:00_AM	22/7/2020	Daraina	10:38:00_AM	29/7/2020	10093	good	Sweden	ERS16375385	sample processed and sequenced
SU2P7Y	TK1MIJ	H201202	2.4144	Daraina	03:58:32_AM	16/10/2019	Daraina	08:10:00_AM	23/10/2019	10331	good	Sweden	ERS16375622	sample processed and sequenced
S7RFGD	TRJZGH	H201203	1.6024	Marojejy	10:45:00_AM	1/7/2020	Marojejy	12:36:00_PM	8/7/2020	10191	good	Sweden	ERS16375320	sample processed and sequenced
S4BZGF	TAHDZD	H201204	2.7274	Marojejy	11:11:16_PM	23/10/2019	Marojejy	08:33:25_PM	30/10/2019	9922	good	Sweden	ERS16375299	sample processed and sequenced
SF6JZ9	T6UDMB	H201205	2.6394	Mikea	02:54:45_AM	5/2/2020	Mikea	03:38:54_AM	12/2/2020	10124	good	Sweden	ERS16375395	sample processed and sequenced
SB8UGE	TKRH5P	H201206	2.4794	Namoroka	03:01:05_AM	4/3/2020	Namoroka	03:27:45_AM	11/3/2020	10107	good	Sweden	ERS16375349	sample processed and sequenced
SY243Y	TKDVTA	H201207	3.1674	Tsitongambarika	01:52:19_PM	20/11/2019	Tsitongambarika	05:44:22_PM	27/11/2019	10312	good	Sweden	ERS16375691	sample processed and sequenced
SBLRBZ	TULADB	H201208	3.3254	Tsitongambarika	06:19:29_AM	9/1/2020	Tsitongambarika	11:37:18_AM	16/1/2020	10398	good	Sweden	ERS16375358	sample processed and sequenced
SI9GMT	TYBVPP	H201212	9.8964	Bezaha	07:31:52_PM	11/12/2019	Bezaha	07:25:47_PM	18/12/2019	10074	good	Sweden	ERS16375438	sample processed and sequenced
SK5PSV	TXS3QU	H201221	3.0484	Marojejy	11:57:56_PM	8/4/2020	Marojejy	01:16:01_AM	16/4/2020	10158	good	Sweden	ERS16375466	sample processed and sequenced
SRIGPQ	TEGSKQ	H201222	1.1234	Ambatovy	10:10:00_PM	22/7/2020	Ambatovy	09:00:00_PM	29/7/2020	10010	good	Sweden	ERS16375577	sample processed and sequenced
SZNZFL	THI5PX	H201223	10.1434	Analamerana	03:14:45_AM	11/12/2019	Analamerana	04:43:37_AM	18/12/2019	10169	good	Sweden	ERS16375709	sample processed and sequenced
SCJHRJ	THYGHQ	H201213	1.1274	Kirindy_Mitea	02:05:45_AM	29/4/2020	Kirindy_Mitea	04:55:23_AM	6/5/2020	10250	good	Sweden	ERS16375368	sample processed and sequenced
SBC7PQ	TYBVPP	H201214	5.9124	Bezaha	12:00:00_PM	16/10/2019	Bezaha	05:35:10_PM	23/10/2019	10415	good	Sweden	ERS16375352	sample processed and sequenced
SEKK4F	TUAPDE	H201215	0.7734	Montagne_d'Ambre	08:10:00_AM	29/7/2020	Montagne_d'Ambre	08:18:00_AM	5/8/2020	10088	good	Sweden	ERS16375387	sample processed and sequenced
SUYNIC	T6UDMB	H201216	2.1204	Mikea	03:31:57_AM	13/11/2019	Mikea	03:34:28_AM	20/11/2019	10083	good	Sweden	ERS16375637	sample processed and sequenced
S62QIH	T6UDMB	H201217	1.7254	Mikea	06:10:26_AM	25/9/2019	Mikea	06:51:49_AM	2/10/2019	10121	good	Sweden	ERS16375306	sample processed and sequenced
SMMRKL	TEGSKQ	H201218	4.1984	Ambatovy	08:05:00_AM	4/3/2020	Ambatovy	09:01:00_AM	11/3/2020	10136	good	Sweden	ERS16375512	sample processed and sequenced
SMU9S7	TEGSKQ	H201219	2.0374	Ambatovy	06:10:00_PM	27/5/2020	Ambatovy	05:05:00_PM	10/6/2020	20095	good	Sweden	ERS16375516	sample processed and sequenced
SUXY6Q	THI5PX	H201220	2.6654	Analamerana	09:53:00_AM	8/4/2020	Analamerana	06:18:51_AM	15/4/2020	9866	good	Sweden	ERS16375636	sample processed and sequenced
SH44WW	TRA8W1	H201224	7.3884	Marojejy	09:57:12_PM	20/11/2019	Marojejy	09:30:31_PM	27/11/2019	10053	good	Sweden	ERS16375423	sample processed and sequenced
S4NLDQ	T4ZF4M	H201233	3.4204	Isalo	08:44:00_AM	6/11/2019	Isalo	03:14:34_PM	13/11/2019	10471	good	Sweden	ERS16375302	sample processed and sequenced
S3UYRV	TRKQU5	H201234	3.2874	Ankarana	05:44:16_AM	4/12/2019	Ankarana	05:48:27_AM	11/12/2019	10084	good	Sweden	ERS16375296	sample processed and sequenced
SKNFLV	TNQVM4	H201235	2.5314	Masoala	02:31:00_PM	25/12/2019	Masoala	03:58:00_PM	1/1/2020	10167	good	Sweden	ERS16375473	sample processed and sequenced
