	sampleID_HISTORICAL	sampleID_FIELD	sampleID_LAB	dataset	lab_sample_type	country	biological_spikes	artificial_spikes	sample_metadata_file	lysate_rack_ID	lysate_well_ID	dna_plate_ID	dna_plate_well_ID	sequencing_batch	sequencing_batch_NGI	notes_sequencing	study_accession_ENA	sample_accession_ENA	experiment_accession_ENA	run_accession_ENA	RC	Mreads	>=Q30
P27359_2928	FL055_H201091	STGR6Z	H201091	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL055	H4	3000491390.0	H4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375613	ERX11436300	ERR12053079	0.22	87.45	
P27359_2929	FL055_H201092	S2VDVS	H201092	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL055	H5	3000491390.0	H5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375286	ERX11436301	ERR12053080	0.21	87.49	
P27359_2930	FL055_H201093	SKS6UM	H201093	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL055	H6	3000491390.0	H6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375477	ERX11436302	ERR12053081	0.74	87.12	
P27359_2931	FL055_H201094	SPVTQ7	H201094	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL055	H7	3000491390.0	H7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375542	ERX11436303	ERR12053082	0.59	87.26	
P27359_2932	FL055_H201095	SERECT	H201095	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL055	H8	3000491390.0	H8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375392	ERX11436304	ERR12053083	0.08	87.29	
P27359_2933	FL055_neg		FL055_neg	CO1_lysate_2019_MG	extraction_neg	Madagascar	False	False		FL055		3000491390.0		batch14	P27359	sequencing successfull	PRJEB61109	ERS16377005	ERX11436305	ERR12053084	0.0	86.3	
P27359_2935	FL055_Neg_PCR		FL055_Neg_PCR	CO1_lysate_2019_MG	pcr_neg	Madagascar	False	False		FL055				batch14	P27359	sequencing successfull	PRJEB61109	ERS16377080	ERX11436306	ERR12053085	0.0	86.94	
P27359_2937	FL058_H201280	S36ENM	H201280	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	A1	3000491463.0	A1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375289	ERX11436307	ERR12053086	0.54	87.87	
P27359_2938	FL058_H201281	SHY2RW	H201281	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	A2	3000491463.0	A2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375435	ERX11436308	ERR12053087	0.25	86.82	
P27359_2939	FL058_H201282	SHAA5Y	H201282	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	A3	3000491463.0	A3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375427	ERX11436309	ERR12053088	2.85	86.87	
P27359_2940	FL058_H201283	SWVC17	H201283	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	A4	3000491463.0	A4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375677	ERX11436310	ERR12053089	0.52	87.36	
P27359_2941	FL058_H201284	S71CKF	H201284	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	A5	3000491463.0	A5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375313	ERX11436311	ERR12053090	1.02	88.74	
P27359_2942	FL058_H201285	SMKSEX	H201285	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	A6	3000491463.0	A6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375510	ERX11436312	ERR12053091	0.98	87.15	
P27359_2943	FL058_H201286	SIBRUH	H201286	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	A7	3000491463.0	A7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375439	ERX11436313	ERR12053092	1.51	87.55	
P27359_2944	FL058_H201287	S4BR8D	H201287	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	A8	3000491463.0	A8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375298	ERX11436314	ERR12053093	1.43	87.45	
P27359_2945	FL058_H201288	SVBLVP	H201288	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	A9	3000491463.0	A9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375640	ERX11436315	ERR12053094	1.99	87.6	
P27359_2946	FL058_H201289	S7T5C6	H201289	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	A10	3000491463.0	A10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375321	ERX11436316	ERR12053095	2.81	86.6	
P27359_2947	FL058_H201290	SEKHTQ	H201290	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	A11	3000491463.0	A11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375386	ERX11436317	ERR12053096	0.84	87.97	
P27359_2948	FL058_H201291	SMIF9M	H201291	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	A12	3000491463.0	A12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375506	ERX11436318	ERR12053097	1.5	87.21	
P27359_2949	FL058_H201292	SAUAZ2	H201292	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	B1	3000491463.0	B1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375342	ERX11436319	ERR12053098	2.53	88.16	
P27359_2950	FL058_H201293	SAATDU	H201293	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	B2	3000491463.0	B2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375334	ERX11436320	ERR12053099	0.23	87.68	
P27359_2951	FL058_H201294	SD6YN9	H201294	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	B3	3000491463.0	B3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375375	ERX11436321	ERR12053100	3.36	89.04	
P27359_2952	FL058_H201295	SXDQWT	H201295	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	B4	3000491463.0	B4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375684	ERX11436322	ERR12053101	0.19	86.93	
P27359_2953	FL058_H201296	SZZRVA	H201296	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	B5	3000491463.0	B5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375712	ERX11436323	ERR12053102	0.75	87.64	
P27359_2954	FL058_H201297	S9BH6Q	H201297	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	B6	3000491463.0	B6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375328	ERX11436324	ERR12053103	0.6	88.04	
P27359_2955	FL058_H201298	SLXSEJ	H201298	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	B7	3000491463.0	B7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375497	ERX11436325	ERR12053104	0.23	87.59	
P27359_2956	FL058_H201299	SGC6ET	H201299	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	B8	3000491463.0	B8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375413	ERX11436326	ERR12053105	0.44	87.29	
P27359_2957	FL058_H201300	SUBAJA	H201300	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	B9	3000491463.0	B9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375626	ERX11436327	ERR12053106	1.15	86.44	
P27359_2958	FL058_H201301	SWDYET	H201301	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	B10	3000491463.0	B10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375667	ERX11436328	ERR12053107	2.17	87.13	
P27359_2959	FL058_H201302	SVNTLH	H201302	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	B11	3000491463.0	B11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375652	ERX11436329	ERR12053108	1.17	88.01	
P27359_2960	FL058_H201303	SBAATQ	H201303	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	B12	3000491463.0	B12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375351	ERX11436330	ERR12053109	0.18	86.93	
P27359_2961	FL058_H201304	SUD1MJ	H201304	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	C1	3000491463.0	C1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375628	ERX11436331	ERR12053110	0.05	87.83	
P27359_2962	FL058_H201305	SRXQP3	H201305	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	C2	3000491463.0	C2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375586	ERX11436332	ERR12053111	1.27	87.65	
P27359_2963	FL058_H201306	SSUIJP	H201306	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	C3	3000491463.0	C3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375597	ERX11436333	ERR12053112	0.06	87.51	
P27359_2964	FL058_H201307	SQ9AYS	H201307	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	C4	3000491463.0	C4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375548	ERX11436334	ERR12053113	1.03	87.63	
P27359_2965	FL058_H201308	SQTFLM	H201308	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	C5	3000491463.0	C5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375562	ERX11436335	ERR12053114	1.13	86.39	
P27359_2966	FL058_H201309	SJXCFM	H201309	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	C6	3000491463.0	C6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375463	ERX11436336	ERR12053115	0.78	87.47	
P27359_2967	FL058_H201310	SVJDYG	H201310	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	C7	3000491463.0	C7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375649	ERX11436337	ERR12053116	0.56	86.57	
P27359_2968	FL058_H201311	S2AP2C	H201311	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	C8	3000491463.0	C8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375283	ERX11436338	ERR12053117	1.05	87.13	
P27359_2969	FL058_H201312	S8NHVM	H201312	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	C9	3000491463.0	C9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375324	ERX11436339	ERR12053118	1.78	87.21	
P27359_2970	FL058_H201313	SMICZ4	H201313	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	C10	3000491463.0	C10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375505	ERX11436340	ERR12053119	2.04	87.69	
P27359_2971	FL058_H201314		H201314	CO1_lysate_2019_MG	buffer_blank	Madagascar	False	False		FL058	C11	3000491463.0	C11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16376964	ERX11436341	ERR12053120	0.0	85.71	
P27359_2972	FL058_H201315		H201315	CO1_lysate_2019_MG	mock_sample	Madagascar	True	False		FL058	C12	3000491463.0	C12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16377034	ERX11436342	ERR12053121	1.79	88.59	
P27359_2973	FL058_H201316	SQCWNW	H201316	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	D1	3000491463.0	D1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375553	ERX11436343	ERR12053122	1.48	87.06	
P27359_2974	FL058_H201317	SFJKHH	H201317	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	D2	3000491463.0	D2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375401	ERX11436344	ERR12053123	1.92	88.22	
P27359_2975	FL058_H201318	S7C1UR	H201318	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	D3	3000491463.0	D3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375315	ERX11436345	ERR12053124	0.22	87.03	
P27359_2976	FL058_H201319	SAJBWC	H201319	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	D4	3000491463.0	D4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375338	ERX11436346	ERR12053125	0.27	87.25	
P27359_2977	FL058_H201320	SFUK6Q	H201320	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	D5	3000491463.0	D5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375407	ERX11436347	ERR12053126	3.37	86.81	
P27359_2978	FL058_H201321	SMCFA6	H201321	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	D6	3000491463.0	D6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375501	ERX11436348	ERR12053127	1.57	87.47	
P27359_2979	FL058_H201322	SB6RBS	H201322	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	D7	3000491463.0	D7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375347	ERX11436349	ERR12053128	0.4	87.59	
P27359_2980	FL058_H201323	SGDUIC	H201323	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	D8	3000491463.0	D8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375414	ERX11436350	ERR12053129	0.68	85.7	
P27359_2981	FL058_H201324	ST5JX5	H201324	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	D9	3000491463.0	D9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375605	ERX11436351	ERR12053130	1.09	86.72	
P27359_2982	FL058_H201325	S7D1JK	H201325	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	D10	3000491463.0	D10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375316	ERX11436352	ERR12053131	0.09	87.12	
P27359_2983	FL058_H201326	S8SLPM	H201326	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	D11	3000491463.0	D11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375326	ERX11436353	ERR12053132	0.15	87.67	
P27359_2984	FL058_H201327	SMAXVZ	H201327	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	D12	3000491463.0	D12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375500	ERX11436354	ERR12053133	0.69	87.19	
P27359_2985	FL058_H201328	SYC46M	H201328	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	E1	3000491463.0	E1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375692	ERX11436355	ERR12053134	0.01	86.96	
P27359_2986	FL058_H201329	STHFKU	H201329	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	E2	3000491463.0	E2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375614	ERX11436356	ERR12053135	0.68	84.8	
P27359_2987	FL058_H201330	SB1RAS	H201330	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	E3	3000491463.0	E3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375345	ERX11436357	ERR12053136	0.06	86.91	
P27359_2988	FL058_H201331	SBEKUF	H201331	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	E4	3000491463.0	E4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375353	ERX11436358	ERR12053137	1.42	87.4	
P27359_2989	FL058_H201332	SUGFH9	H201332	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	E5	3000491463.0	E5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375630	ERX11436359	ERR12053138	2.47	87.79	
P27359_2990	FL058_H201333	SCZPL5	H201333	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	E6	3000491463.0	E6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375374	ERX11436360	ERR12053139	1.36	87.27	
P27359_2991	FL058_H201334	SYQVI4	H201334	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	E7	3000491463.0	E7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375699	ERX11436361	ERR12053140	0.1	86.51	
P27359_2992	FL058_H201335	S3CKEH	H201335	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	E8	3000491463.0	E8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375291	ERX11436362	ERR12053141	0.21	86.78	
P27359_2993	FL058_H201336	SWQGYP	H201336	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	E9	3000491463.0	E9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375673	ERX11436363	ERR12053142	1.08	86.82	
P27359_2994	FL058_H201337	SR5IFN	H201337	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	E10	3000491463.0	E10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375570	ERX11436364	ERR12053143	2.59	88.38	
P27359_2995	FL058_H201338	SLPAL5	H201338	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	E11	3000491463.0	E11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375491	ERX11436365	ERR12053144	0.51	86.8	
P27359_2996	FL058_H201339	SLAAVA	H201339	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	E12	3000491463.0	E12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375484	ERX11436366	ERR12053145	1.5	87.64	
P27359_2997	FL058_H201340	SMN5ZE	H201340	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	F1	3000491463.0	F1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375513	ERX11436367	ERR12053146	1.06	87.48	
P27359_2998	FL058_H201341	S8SFY7	H201341	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	F2	3000491463.0	F2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375325	ERX11436368	ERR12053147	0.0	87.75	
P27359_2999	FL058_H201342	SCDWZS	H201342	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	F3	3000491463.0	F3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375365	ERX11436369	ERR12053148	2.19	87.99	
P27359_3001	FL058_H201343	SX6GSM	H201343	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	F4	3000491463.0	F4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375683	ERX11436370	ERR12053149	1.13	87.63	
P27359_3002	FL058_H201344	ST2NQN	H201344	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	F5	3000491463.0	F5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375604	ERX11436371	ERR12053150	2.97	85.05	
P27359_3003	FL058_H201345	SK5ITD	H201345	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	F6	3000491463.0	F6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375465	ERX11436372	ERR12053151	1.25	84.06	
P27359_3004	FL058_H201346	SBJJX8	H201346	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	F7	3000491463.0	F7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375356	ERX11436373	ERR12053152	2.0	87.42	
P27359_3005	FL058_H201347	SIPULM	H201347	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	F8	3000491463.0	F8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375443	ERX11436374	ERR12053153	2.03	87.07	
P27359_3006	FL058_H201348	S3VSQU	H201348	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	F9	3000491463.0	F9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375297	ERX11436375	ERR12053154	2.07	87.36	
P27359_3007	FL058_H201349	SLUCKX	H201349	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	F10	3000491463.0	F10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375494	ERX11436376	ERR12053155	0.79	87.75	
P27359_3008	FL058_H201350	SJNZE3	H201350	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	F11	3000491463.0	F11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375458	ERX11436377	ERR12053156	0.49	86.91	
P27359_3009	FL058_H201351	SFUS4Z	H201351	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	F12	3000491463.0	F12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375408	ERX11436378	ERR12053157	3.24	87.48	
P27359_3010	FL058_H201352	SNRNUL	H201352	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	G1	3000491463.0	G1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375528	ERX11436379	ERR12053158	0.08	87.91	
P27359_3011	FL058_H201353	SAKRY1	H201353	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	G2	3000491463.0	G2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375339	ERX11436380	ERR12053159	0.95	87.01	
P27359_3012	FL058_H201354	SEUR6L	H201354	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	G3	3000491463.0	G3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375394	ERX11436381	ERR12053160	0.63	87.39	
P27359_3013	FL058_H201355	S9D4ZG	H201355	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	G4	3000491463.0	G4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375330	ERX11436382	ERR12053161	1.2	87.38	
P27359_3014	FL058_H201356		H201356	CO1_lysate_2019_MG	buffer_blank	Madagascar	False	False		FL058	G5	3000491463.0	G5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16376965	ERX11436383	ERR12053162	0.0	82.21	
P27359_3016	FL058_H201358	S1MEB8	H201358	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	G7	3000491463.0	G7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375278	ERX11436384	ERR12053163	2.48	87.03	
P27359_3017	FL058_H201359	SSXNJC	H201359	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	G8	3000491463.0	G8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375600	ERX11436385	ERR12053164	0.15	87.46	
P27359_3018	FL058_H201360	STFMIR	H201360	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	G9	3000491463.0	G9	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375611	ERX11436386	ERR12053165	1.13	86.74	
P27359_3019	FL058_H201361	SRVXS3	H201361	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	G10	3000491463.0	G10	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375585	ERX11436387	ERR12053166	1.02	87.13	
P27359_3020	FL058_H201362	S3RFK2	H201362	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	G11	3000491463.0	G11	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375295	ERX11436388	ERR12053167	1.03	85.62	
P27359_3021	FL058_H201363	SPPK8H	H201363	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	G12	3000491463.0	G12	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375538	ERX11436389	ERR12053168	1.54	87.45	
P27359_3022	FL058_H201364	SISZDF	H201364	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	H1	3000491463.0	H1	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375449	ERX11436390	ERR12053169	0.26	86.98	
P27359_3023	FL058_H201365	S6S5RB	H201365	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	H2	3000491463.0	H2	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375311	ERX11436391	ERR12053170	1.15	87.87	
P27359_3024	FL058_H201366	SP852X	H201366	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	H3	3000491463.0	H3	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375531	ERX11436392	ERR12053171	1.85	87.32	
P27359_3025	FL058_H201367	SVALVW	H201367	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	H4	3000491463.0	H4	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375639	ERX11436393	ERR12053172	0.76	87.12	
P27359_3026	FL058_H201368	SSHLKL	H201368	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	H5	3000491463.0	H5	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375593	ERX11436394	ERR12053173	1.18	87.36	
P27359_3027	FL058_H201369	SWQQPF	H201369	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	H6	3000491463.0	H6	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375674	ERX11436395	ERR12053174	0.49	87.65	
P27359_3028	FL058_H201370	SFRHLG	H201370	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	H7	3000491463.0	H7	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375405	ERX11436396	ERR12053175	2.01	88.05	
P27359_3029	FL058_H201371	SU1NC2	H201371	CO1_lysate_2019_MG	sample	Madagascar	True	False	samples_metadata_malaise_MG.tsv	FL058	H8	3000491463.0	H8	batch14	P27359	sequencing successfull	PRJEB61109	ERS16375621	ERX11436397	ERR12053176	0.04	87.47	
