sampleID_FIELD	trapID	biomass_grams	placing_user	placing_time	placing_date	collecting_user	collecting_time	collecting_date	duration_min	trap_condition_collection	sample_ethanol_conc	processing_group	sample_accession_ENA	sample_status
SRZHBB	TEYZYN	1.8524	Mats_Hannevad	2:31:00_PM	2/3/2019	Mats_Hannevad	11:00:00_AM	1/4/2019	42989	good	93.7	Lysis_first	ERS16366024	sample processed and sequenced
SCZJ3I	T5CELX	6.8634	Anita_Rajala	11:19:00_AM	16/6/2019	Anita_Rajala	3:47:21_PM	23/6/2019	10348	good	94	Lysis_first	ERS16366025	sample processed and sequenced
S5826N	T5CELX	2.8654	Anita_Rajala	11:23:04_AM	25/8/2019	Anita_Rajala	11:04:43_AM	1/9/2019	10062	good	94.2	Lysis_first	ERS16366026	sample processed and sequenced
SQJKTM	TMLQED	0.7504	Helene_Johansson	7:18:01_AM	6/4/2019	Helene_Johansson	8:24:14_AM	13/4/2019	10146	good	95.2	Lysis_first	ERS16366027	sample processed and sequenced
SDUCM5	TBGIW1	3.8864	Kevin_Warrington	4:47:56_PM	7/6/2019	Kevin_Warrington	1:52:49_PM	14/6/2019	9905	good	94.2	Lysis_first	ERS16366028	sample processed and sequenced
SJB7IR	TWQDCF	0.2214	Rebecka_Erixon	12:14:24_PM	2/3/2019	Rebecka_Erixon	1:21:53_PM	30/3/2019	40387	poor	92.8	Lysis_first	ERS16366029	sample processed and sequenced
S5SFUG	TYKZSN	0.4724	Jan_Andersson	12:08:55_PM	6/4/2019	Jan_Andersson	12:47:20_PM	13/4/2019	10118	good	95.2	Lysis_first	ERS16366030	sample processed and sequenced
SNCWJ6	TDUYXP	3.9734	Malin_Aiero	8:59:02_AM	11/5/2019	Malin_Aiero	5:09:46_PM	18/5/2019	10571	good	94.7	Lysis_first	ERS16366031	sample processed and sequenced
SSP9UK	TBGIW1	7.1424	Kevin_Warrington	3:52:44_PM	12/7/2019	Kevin_Warrington	3:56:33_PM	19/7/2019	10084	good	94	Lysis_first	ERS16366032	sample processed and sequenced
SBEMIG	TBGIW1	3.7534	Kevin_Warrington	4:59:40_PM	28/6/2019	Kevin_Warrington	4:16:58_PM	5/7/2019	10037	good	94.3	Lysis_first	ERS16366033	sample processed and sequenced
SGXWE9	TWF14R	0.5874	Helene_Johansson	11:42:08_AM	2/3/2019	Helene_Johansson	9:43:45_AM	30/3/2019	40202	acceptable	90.7	Lysis_first	ERS16366034	sample processed and sequenced
SGEGHG	THGUAX	4.4874	Helene_Johansson	10:22:55_AM	2/3/2019	Helene_Johansson	10:26:51_AM	30/3/2019	40324	good	93	Lysis_first	ERS16366035	sample processed and sequenced
SAVFCH	TWQDCF	0.9404	Rebecka_Erixon	11:27:37_AM	21/4/2019	Rebecka_Erixon	5:58:52_PM	26/4/2019	7591	good	93.5	Lysis_first	ERS16366036	sample processed and sequenced
SYTCZZ	TNGTPF	0.5754	Jan_Andersson	9:06:00_AM	1/2/2019	Richard_Olofsson	10:55:46_AM	2/3/2019	41870	good	93.9	Lysis_first	ERS16366037	sample processed and sequenced
SPWKAH	T5ZUGG	8.2284	Anna_Joensson	9:35:00_AM	18/5/2019	Anna_Joensson	8:37:14_AM	25/5/2019	10022	good	93.6	Lysis_first	ERS16366038	sample processed and sequenced
SVRBQR	T5CELX	4.0794	Anita_Rajala	10:31:24_AM	28/7/2019	Anita_Rajala	2:12:24_PM	4/8/2019	10301	good	94.6	Lysis_first	ERS16366039	sample processed and sequenced
S2LJBU	TAPGMG	3.8574	Maj_Aspebo	5:50:17_PM	8/6/2019	Maj_Aspebo	5:32:09_PM	15/6/2019	10062	good	94.7	Lysis_first	ERS16366040	sample processed and sequenced
SSDLZQ	TWQDCF	0.8824	Rebecka_Erixon	11:40:56_AM	4/2/2019	Rebecka_Erixon	12:14:01_PM	2/3/2019	37473	good	88.2	Lysis_first	ERS16366041	sample processed and sequenced
SYZAIL	TBGIW1	4.9294	Kevin_Warrington	1:55:10_PM	14/6/2019	Kevin_Warrington	3:36:56_PM	21/6/2019	10182	good	94.1	Lysis_first	ERS16366042	sample processed and sequenced
SWSYA1	TDKAFR	0.6554	Rebecka_Erixon	1:44:10_PM	5/1/2019	Rebecka_Erixon	11:16:04_AM	4/2/2019	43052	acceptable	93.7	Lysis_first	ERS16366043	sample processed and sequenced
SELA13	THGUAX	2.6254	Helene_Johansson	11:52:27_AM	4/5/2019	Helene_Johansson	8:37:59_AM	11/5/2019	9886	good	94.8	Lysis_first	ERS16366044	sample processed and sequenced
SJLCHE	TWF14R	5.9124	Helene_Johansson	9:29:06_AM	1/6/2019	Helene_Johansson	2:42:45_PM	7/6/2019	8954	good	93.9	Lysis_first	ERS16366045	sample processed and sequenced
SSPM8B	TSTZUY	3.4254	Thomas_Westin	10:11:45_AM	23/8/2019	Thomas_Westin	10:56:24_AM	30/8/2019	10125	good	94.1	Lysis_first	ERS16366046	sample processed and sequenced
SEZDGJ	TAPGMG	1.8144	Maj_Aspebo	7:23:04_AM	31/8/2019	Maj_Aspebo	5:15:35_PM	6/9/2019	9233	good	94.5	Lysis_first	ERS16366047	sample processed and sequenced
SQUFKX	TD5LHA	1.8384	Rebecka_Erixon	10:50:44_AM	4/5/2019	Rebecka_Erixon	4:29:56_PM	10/5/2019	8979	acceptable	94.1	Lysis_first	ERS16366048	sample processed and sequenced
SXQ6KT	TD5LHA	5.5594	Rebecka_Erixon	4:07:14_PM	12/4/2019	Rebecka_Erixon	12:07:10_PM	21/4/2019	12720	good	92	Lysis_first	ERS16366049	sample processed and sequenced
S1QBIQ	TWQDCF	1.3474	Rebecka_Erixon	3:46:06_PM	10/5/2019	Rebecka_Erixon	10:56:30_AM	17/5/2019	9790	good	93.8	Lysis_first	ERS16366050	sample processed and sequenced
SR7DAZ	TWF14R	0.7404	Helene_Johansson	10:25:00_AM	5/1/2019	Helene_Johansson	12:11:41_PM	2/2/2019	40427	poor	92.2	Lysis_first	ERS16366051	sample processed and sequenced
SQHICG	T6LS76	7.3994	Helene_Johansson	11:08:21_AM	18/5/2019	Helene_Johansson	8:54:18_AM	25/5/2019	9946	good	93.6	Lysis_first	ERS16366052	sample processed and sequenced
SVDEEY	TAPGMG	5.6504	Maj_Aspebo	8:50:39_AM	29/6/2019	Maj_Aspebo	9:23:10_AM	6/7/2019	10113	good	94.2	Lysis_first	ERS16366053	sample processed and sequenced
SNI1LT	TBGIW1	2.1784	Kevin_Warrington	3:57:37_PM	23/8/2019	Kevin_Warrington	7:00:43_PM	30/8/2019	10263	good	94.1	Lysis_first	ERS16366054	sample processed and sequenced
SETN3H	TAPGMG	1.1154	Maj_Aspebo	1:35:44_PM	21/9/2019	Maj_Aspebo	8:46:32_AM	29/9/2019	11231	good	95	Lysis_first	ERS16366055	sample processed and sequenced
SCR45A	TBGIW1	3.6234	Kevin_Warrington	7:01:36_PM	30/8/2019	Kevin_Warrington	7:55:09_AM	14/9/2019	20934	good	93.3	Lysis_first	ERS16366056	sample processed and sequenced
STB8JX	TYKZSN	-0.1606	Jan_Andersson	12:53:53_PM	5/1/2019	Jan_Andersson	11:27:10_AM	1/2/2019	38793	good	94.1	Lysis_first	ERS16366057	sample processed and sequenced
SXC3BP	TNGTPF	1.5484	Jan_Andersson	11:50:07_AM	6/4/2019	Jan_Andersson	12:28:51_PM	13/4/2019	10119	good	95.2	Lysis_first	ERS16366058	sample processed and sequenced
SDJUKV	TWF14R	7.4814	Helene_Johansson	10:52:15_AM	18/5/2019	Helene_Johansson	8:33:27_AM	25/5/2019	9941	good	93.9	Lysis_first	ERS16366059	sample processed and sequenced
SZW6WN	TZWKHK	0.5944	Thomas_Kraft	12:13:45_PM	4/1/2019	Thomas_Kraft	2:16:23_PM	2/2/2019	41883	good	93.4	Lysis_first	ERS16366060	sample processed and sequenced
SRL4B8	T7RGYH	8.4324	Emma_Sjoegren	7:01:19_AM	7/4/2019	Emma_Sjoegren	7:31:48_AM	20/4/2019	18750	good	93.7	Lysis_first	ERS16366061	sample processed and sequenced
SCKPGB	TKSUA6	4.3214	Thomas_Kraft	9:38:23_AM	2/3/2019	Thomas_Kraft	7:27:23_AM	30/3/2019	40189	good	92.5	Lysis_first	ERS16366062	sample processed and sequenced
S4VGUX	TMXZCE	1.4914	Carina_Frogner	4:14:06_PM	6/4/2019	Carina_Frogner	12:34:07_PM	13/4/2019	9860	good	95.3	Lysis_first	ERS16366063	sample processed and sequenced
SGMMZP	TMXZCE	0.7054	Carina_Frogner	4:14:53_PM	2/3/2019	Carina_Frogner	11:11:18_AM	30/3/2019	40016	poor	NA	Lysis_first	ERS16366064	sample processed and sequenced
SUZRLN	TRXMCY	6.6344	Jan_Nilsson	2:04:34_PM	27/7/2019	Jan_Nilsson	3:44:13_PM	2/8/2019	8740	good	94.1	Lysis_first	ERS16366065	sample processed and sequenced
SJI7DR	TAI56Z	4.7754	Irene_Persson	8:50:23_AM	30/6/2019	Irene_Persson	2:50:00_PM	6/7/2019	9000	good	93.8	Lysis_first	ERS16366066	sample processed and sequenced
SCVBTB	TM9NNJ	2.4634	John_Persson	9:31:43_AM	7/9/2019	John_Persson	7:04:40_PM	14/9/2019	10653	good	91.8	Lysis_first	ERS16366067	sample processed and sequenced
SPCYYT	TGCHAV	1.8554	Thomas_Kraft	2:05:32_PM	2/2/2019	Thomas_Kraft	10:42:49_AM	2/3/2019	40117	good	93.7	Lysis_first	ERS16366068	sample processed and sequenced
SBRTM2	T7RGYH	10.4854	Emma_Sjoegren	7:35:07_AM	11/5/2019	Emma_Sjoegren	7:22:07_AM	19/5/2019	11507	good	94.5	Lysis_first	ERS16366069	sample processed and sequenced
SAWKFU	TMXZCE	3.8664	Carina_Frogner	10:29:37_AM	20/4/2019	Carina_Frogner	10:55:00_AM	27/4/2019	10105	good	94.9	Lysis_first	ERS16366070	sample processed and sequenced
SK6MD8	TZWKHK	0.4074	Ola_Ejdren	11:30:42_AM	20/4/2019	Thomas_Kraft	9:06:55_AM	28/4/2019	11376	poor	95.2	Lysis_first	ERS16366071	sample processed and sequenced
SPWZF6	TIAIK1	6.0374	Jan_Nilsson	3:44:25_PM	9/8/2019	Jan_Nilsson	5:05:09_PM	16/8/2019	10161	good	94	Lysis_first	ERS16366072	sample processed and sequenced
SFAZUP	TM9NNJ	1.9194	John_Persson	11:59:04_AM	8/6/2019	John_Persson	9:29:24_AM	15/6/2019	9930	good	86.2	Lysis_first	ERS16366073	sample processed and sequenced
SEEZPH	THFUHH	0.6084	Anders_Borgehed	12:00:00_PM	24/11/2019	Anders_Borgehed	12:00:00_PM	27/12/2019	47520	NA	93.9	Lysis_first	ERS16366074	sample processed and sequenced
SYUVRX	TZQFGP	1.3894	Anett_Wass	12:41:39_PM	4/5/2019	Anett_Wass	11:23:52_AM	10/5/2019	8562	good	95.2	Lysis_first	ERS16366075	sample processed and sequenced
SMNURJ	T7RGYH	6.5704	Emma_Sjoegren	9:37:05_AM	2/2/2019	Emma_Sjoegren	8:35:00_AM	2/3/2019	40258	good	90.3	Lysis_first	ERS16366076	sample processed and sequenced
SXBAVY	TZWKHK	2.1984	Thomas_Kraft	10:56:53_AM	2/3/2019	Thomas_Kraft	8:39:22_AM	30/3/2019	40182	good	87.8	Lysis_first	ERS16366077	sample processed and sequenced
SHHJFA	TBPT1B	0.2504	Thomas_Kraft	1:28:20_PM	4/1/2019	Thomas_Kraft	2:24:52_PM	2/2/2019	41817	good	93.3	Lysis_first	ERS16366078	sample processed and sequenced
SJKUGH	TV6Z5Y	9.9304	Jan_Nilsson	3:03:31_PM	2/8/2019	Jan_Nilsson	3:15:45_PM	9/8/2019	10092	good	93.6	Lysis_first	ERS16366079	sample processed and sequenced
SIPSHX	TV6Z5Y	4.0064	Jan_Nilsson	10:16:16_AM	27/10/2019	Jan_Nilsson	11:19:57_AM	30/11/2019	49024	poor	92.5	Lysis_first	ERS16366080	sample processed and sequenced
SCNS6K	TV6Z5Y	6.3634	Jan_Nilsson	1:25:21_PM	6/9/2019	Jan_Nilsson	2:50:16_PM	13/9/2019	10165	acceptable	94	Lysis_first	ERS16366081	sample processed and sequenced
SBSUED	TM9NNJ	3.0704	John_Persson	11:09:18_AM	31/8/2019	John_Persson	9:31:26_AM	7/9/2019	9982	good	94.2	Lysis_first	ERS16366082	sample processed and sequenced
SNRYBW	TLG2QC	1.0714	Haakan_Lernefalk	12:55:26_PM	12/4/2019	Haakan_Lernefalk	12:22:10_PM	20/4/2019	11487	good	95.3	Lysis_first	ERS16366083	sample processed and sequenced
STRMSW	TFFDRE	4.0804	Thomas_Kraft	7:28:12_AM	11/5/2019	Thomas_Kraft	8:19:06_AM	18/5/2019	10131	good	94.7	Lysis_first	ERS16366084	sample processed and sequenced
SMCAWM	TKSUA6	2.0404	Thomas_Kraft	8:23:17_AM	4/5/2019	Thomas_Kraft	7:20:54_AM	11/5/2019	10018	good	94.9	Lysis_first	ERS16366085	sample processed and sequenced
SJSP1A	T9DY9N	0.5304	Karl_Gunnar Rosander	12:46:07_PM	5/1/2019	Karl_Gunnar Rosander	11:20:00_AM	2/2/2019	40234	good	91.2	Lysis_first	ERS16366086	sample processed and sequenced
SECE8V	TV6Z5Y	6.0474	Jan_Nilsson	1:20:25_PM	27/7/2019	Jan_Nilsson	3:03:09_PM	2/8/2019	8743	good	94.2	Lysis_first	ERS16366087	sample processed and sequenced
SQTBEI	TM9NNJ	5.5464	John_Persson	9:12:24_AM	1/6/2019	John_Persson	11:58:51_AM	8/6/2019	10246	good	93.1	Lysis_first	ERS16366088	sample processed and sequenced
SZCTSE	TM9NNJ	3.0054	John_Persson	2:24:40_PM	24/8/2019	John_Persson	11:09:02_AM	31/8/2019	9884	good	91.9	Lysis_first	ERS16366089	sample processed and sequenced
SQTMRQ	TYKZSN	2.5304	Jan_Nilsson	4:47:13_PM	9/8/2019	Jan_Nilsson	5:54:38_PM	16/8/2019	10147	good	94.8	Lysis_first	ERS16366090	sample processed and sequenced
SDQIGZ	T9DY9N	1.8004	Karl_Gunnar Rosander	11:21:00_AM	2/2/2019	Karl_Gunnar Rosander	1:39:01_PM	2/3/2019	40458	good	90.5	Lysis_first	ERS16366091	sample processed and sequenced
SPCKH9	TTAPUR	3.2474	Hanna_Emanuelsson	8:13:19_AM	11/5/2019	Hanna_Emanuelsson	7:11:05_PM	18/5/2019	10738	good	94.5	Lysis_first	ERS16366092	sample processed and sequenced
SECNEI	TKSUA6	4.0944	Thomas_Kraft	7:21:04_AM	11/5/2019	Thomas_Kraft	8:11:12_AM	18/5/2019	10130	good	94.6	Lysis_first	ERS16366093	sample processed and sequenced
SRAK1I	T3NLMJ	0.1234	Karl_Gunnar Rosander	11:56:00_AM	2/2/2019	Karl_Gunnar Rosander	2:22:09_PM	2/3/2019	40466	poor	80.6	Lysis_first	ERS16366094	sample processed and sequenced
SUKEY2	TRXMCY	14.4684	Jan_Nilsson	11:17:19_AM	13/7/2019	Jan_Nilsson	3:49:30_PM	19/7/2019	8912	good	93.2	Lysis_first	ERS16366095	sample processed and sequenced
SS72NG	T8IKAG	5.4014	Martin_Nehmann	3:37:39_PM	29/6/2019	Martin_Nehmann	12:22:01_PM	6/7/2019	9884	good	93.6	Lysis_first	ERS16366096	sample processed and sequenced
SV215W	TM9NNJ	3.4714	John_Persson	9:29:40_AM	15/6/2019	John_Persson	10:09:31_AM	22/6/2019	10120	good	93.3	Lysis_first	ERS16366097	sample processed and sequenced
SRZB8I	TIRXWF	2.4534	Jan_Nilsson	3:01:22_PM	27/7/2019	Jan_Nilsson	4:40:47_PM	2/8/2019	8739	good	94.9	Lysis_first	ERS16366098	sample processed and sequenced
SWMTPD	TZQFGP	1.0234	Anett_Wass	8:40:08_AM	5/1/2019	Anett_Wass	3:20:01_PM	2/2/2019	40720	poor	94.5	Lysis_first	ERS16366099	sample processed and sequenced
SHEA88	TRXMCY	3.7964	Jan_Nilsson	2:04:04_PM	6/9/2019	Jan_Nilsson	3:29:53_PM	13/9/2019	10166	good	93.5	Lysis_first	ERS16366100	sample processed and sequenced
SVVTMT	TV5KPB	1.1354	Karl_Gunnar Rosander	1:36:00_PM	2/2/2019	Karl_Gunnar Rosander	4:41:29_PM	2/3/2019	40505	acceptable	93.5	Lysis_first	ERS16366101	sample processed and sequenced
SKBUKW	TUDGN3	1.2934	Karl_Gunnar Rosander	12:16:00_PM	2/2/2019	Karl_Gunnar Rosander	2:59:30_PM	2/3/2019	40484	good	93.2	Lysis_first	ERS16366102	sample processed and sequenced
SPCWH3	TRXMCY	9.0354	Jan_Nilsson	3:44:30_PM	2/8/2019	Jan_Nilsson	3:55:11_PM	9/8/2019	10091	good	93.7	Lysis_first	ERS16366103	sample processed and sequenced
SWWUZB	TM9NNJ	3.9794	John_Persson	10:57:45_AM	13/7/2019	John_Persson	5:23:53_PM	20/7/2019	10466	good	94	Lysis_first	ERS16366104	sample processed and sequenced
SJUJUG	TM9NNJ	3.6434	John_Persson	1:23:27_PM	10/8/2019	John_Persson	8:46:43_AM	17/8/2019	9803	good	94.1	Lysis_first	ERS16366105	sample processed and sequenced
SQTBNN	TIRXWF	1.6164	Jan_Nilsson	2:38:14_PM	6/9/2019	Jan_Nilsson	4:07:48_PM	13/9/2019	10170	good	94.5	Lysis_first	ERS16366106	sample processed and sequenced
SCTHCD	TMXZCE	0.5594	Carina_Frogner	2:11:12_PM	2/2/2019	Carina_Frogner	4:13:51_PM	2/3/2019	40443	poor	91.6	Lysis_first	ERS16366107	sample processed and sequenced
SK8GAB	T7RGYH	4.8774	Emma_Sjoegren	7:33:31_AM	20/4/2019	Emma_Sjoegren	7:55:50_AM	28/4/2019	11542	good	93.8	Lysis_first	ERS16366108	sample processed and sequenced
SMC4LJ	TGCHAV	3.2224	Thomas_Kraft	9:11:19_AM	4/5/2019	Thomas_Kraft	8:19:54_AM	11/5/2019	10029	good	94.9	Lysis_first	ERS16366109	sample processed and sequenced
S7KDVL	TTAPUR	1.0334	Hanna_Emanuelsson	8:15:54_AM	4/5/2019	Hanna_Emanuelsson	8:12:56_AM	11/5/2019	10077	good	94.8	Lysis_first	ERS16366110	sample processed and sequenced
SIIZHG	TV6Z5Y	12.7424	Jan_Nilsson	10:44:34_AM	13/7/2019	Jan_Nilsson	2:50:57_PM	19/7/2019	8886	good	93.5	Lysis_first	ERS16366111	sample processed and sequenced
SKRJTW	TM9NNJ	5.5884	John_Persson	9:25:30_AM	18/5/2019	John_Persson	2:29:06_PM	25/5/2019	10384	good	91.9	Lysis_first	ERS16366112	sample processed and sequenced
S3UC7D	TYKZSN	3.5174	Jan_Nilsson	4:27:17_PM	30/8/2019	Jan_Nilsson	2:30:09_PM	6/9/2019	9963	good	94.4	Lysis_first	ERS16366113	sample processed and sequenced
SMXGVQ	TYDUPV	1.0704	Ulrika_Ljung	10:26:29_AM	2/2/2019	Ulrika_Ljung	9:22:46_AM	2/3/2019	40256	good	94	Lysis_first	ERS16366114	sample processed and sequenced
SERGGL	TTAPUR	5.1984	Hanna_Emanuelsson	1:51:29_PM	20/4/2019	Hanna_Emanuelsson	9:41:12_AM	27/4/2019	9830	good	94.5	Lysis_first	ERS16366115	sample processed and sequenced
SYBLKR	TTAPUR	1.3924	Hanna_Emanuelsson	1:23:17_PM	13/4/2019	Hanna_Emanuelsson	1:51:07_PM	20/4/2019	10108	good	95	Lysis_first	ERS16366116	sample processed and sequenced
SSVVK3	TMXZCE	1.8284	Carina_Frogner	12:34:47_PM	13/4/2019	Carina_Frogner	10:29:08_AM	20/4/2019	9954	good	95.3	Lysis_first	ERS16366117	sample processed and sequenced
SXFVIB	TYUAHW	13.4284	Amanda_Brising	3:03:51_PM	8/6/2019	Amanda_Brising	5:38:14_PM	15/6/2019	10234	good	92.1	Lysis_first	ERS16366118	sample processed and sequenced
SYPQT6	TYKZSN	4.8974	Jan_Nilsson	2:30:28_PM	6/9/2019	Jan_Nilsson	3:59:38_PM	13/9/2019	10169	good	94.1	Lysis_first	ERS16366119	sample processed and sequenced
S2ESBJ	TM9NNJ	2.1234	John_Persson	1:53:49_PM	27/7/2019	John_Persson	9:09:57_AM	3/8/2019	9796	good	88.6	Lysis_first	ERS16366120	sample processed and sequenced
S9IQKE	TV6Z5Y	16.1514	Jan_Nilsson	1:45:12_PM	29/6/2019	Jan_Nilsson	8:02:36_AM	7/7/2019	11177	good	92.6	Lysis_first	ERS16366121	sample processed and sequenced
SQKUGI	T7RGYH	2.7274	Emma_Sjoegren	4:43:51_PM	4/5/2019	Emma_Sjoegren	7:34:52_AM	11/5/2019	9531	good	94.9	Lysis_first	ERS16366122	sample processed and sequenced
SMDJBA	TKSUA6	0.8714	Thomas_Kraft	1:19:02_PM	2/2/2019	Thomas_Kraft	9:38:02_AM	2/3/2019	40099	good	93.5	Lysis_first	ERS16366123	sample processed and sequenced
SZYVQ8	TTAPUR	1.1704	Hanna_Emanuelsson	7:42:15_AM	6/4/2019	Hanna_Emanuelsson	1:22:39_PM	13/4/2019	10420	good	94.9	Lysis_first	ERS16366124	sample processed and sequenced
SQS28F	TIAIK1	8.3124	Jan_Nilsson	3:33:33_PM	2/8/2019	Jan_Nilsson	3:44:07_PM	9/8/2019	10091	good	93.9	Lysis_first	ERS16366125	sample processed and sequenced
SXMP7G	TYKZSN	3.6404	Jan_Nilsson	11:54:55_AM	13/7/2019	Jan_Nilsson	5:21:09_PM	19/7/2019	8966	good	94.7	Lysis_first	ERS16366126	sample processed and sequenced
SWSDSG	TM9NNJ	4.3674	John_Persson	9:35:09_AM	6/7/2019	John_Persson	10:57:28_AM	13/7/2019	10162	good	93.9	Lysis_first	ERS16366127	sample processed and sequenced
SVFERJ	TV5KPB	15.7694	Karl_Gunnar Rosander	4:43:02_PM	2/3/2019	Karl_Gunnar Rosander	5:47:43_PM	30/3/2019	40385	good	90.1	Lysis_first	ERS16366128	sample processed and sequenced
SVDUJC	TNGTPF	1.7454	Jan_Nilsson	3:15:47_PM	27/7/2019	Jan_Nilsson	4:57:53_PM	2/8/2019	8742	good	95	Lysis_first	ERS16366129	sample processed and sequenced
SW7ZK6	TWJED2	1.5194	Thomas_Kraft	8:46:32_AM	4/5/2019	Thomas_Kraft	7:47:07_AM	11/5/2019	10021	good	94.6	Lysis_first	ERS16366130	sample processed and sequenced
S24VBK	TUDGN3	1.2174	Karl_Gunnar Rosander	1:34:37_PM	5/1/2019	Karl_Gunnar Rosander	12:15:00_PM	2/2/2019	40240	good	94.3	Lysis_first	ERS16366131	sample processed and sequenced
SVK1RJ	TM9NNJ	7.9184	John_Persson	10:28:51_AM	28/9/2019	John_Persson	11:13:04_AM	26/10/2019	40364	good	89.5	Lysis_first	ERS16366132	sample processed and sequenced
SRA1LT	TM9NNJ	4.9304	John_Persson	11:13:17_AM	26/10/2019	John_Persson	4:38:44_PM	23/11/2019	40645	acceptable	88.8	Lysis_first	ERS16366133	sample processed and sequenced
S4RFH2	TYKZSN	3.3834	Jan_Nilsson	2:44:09_PM	27/7/2019	Jan_Nilsson	4:22:12_PM	2/8/2019	8738	good	94.6	Lysis_first	ERS16366134	sample processed and sequenced
SDDE36	TBPT1B	9.4574	Thomas_Kraft	8:46:34_AM	11/5/2019	Thomas_Kraft	9:13:52_AM	18/5/2019	10107	good	93.8	Lysis_first	ERS16366135	sample processed and sequenced
SMXZUH	TMXZCE	4.6364	Carina_Frogner	12:22:57_PM	11/5/2019	Carina_Frogner	12:05:55_PM	18/5/2019	10063	good	94.6	Lysis_first	ERS16366136	sample processed and sequenced
SE5PU3	TWJED2	0.7914	Thomas_Kraft	1:00:43_PM	4/1/2019	Thomas_Kraft	1:45:16_PM	2/2/2019	41805	acceptable	92.9	Lysis_first	ERS16366137	sample processed and sequenced
S1FWS9	TL3KCT	1.5414	Karl_Gunnar Rosander	12:41:00_PM	2/2/2019	Karl_Gunnar Rosander	3:42:21_PM	2/3/2019	40501	good	92	Lysis_first	ERS16366138	sample processed and sequenced
SQLUW9	TV6Z5Y	7.0904	Jan_Nilsson	3:01:50_PM	30/8/2019	Jan_Nilsson	1:25:03_PM	6/9/2019	9983	good	94	Lysis_first	ERS16366139	sample processed and sequenced
S5XLAU	TM9NNJ	4.1454	John_Persson	7:56:09_PM	28/6/2019	John_Persson	9:34:56_AM	6/7/2019	10899	good	94.1	Lysis_first	ERS16366140	sample processed and sequenced
SJVP6N	TM9NNJ	1.5054	John_Persson	2:51:31_PM	21/9/2019	John_Persson	10:28:33_AM	28/9/2019	9817	good	91.6	Lysis_first	ERS16366141	sample processed and sequenced
SPUK5U	TBPT1B	10.7004	Thomas_Kraft	9:14:00_AM	18/5/2019	Thomas_Kraft	9:46:02_AM	25/5/2019	10112	good	93.5	Lysis_first	ERS16366142	sample processed and sequenced
S6IAH6	TZQFGP	2.5694	Anett_Wass	8:04:03_AM	5/4/2019	Anett_Wass	3:09:58_PM	13/4/2019	11946	good	95	Lysis_first	ERS16366143	sample processed and sequenced
S9UMIS	TFFDRE	1.0184	Thomas_Kraft	1:14:35_PM	4/1/2019	Thomas_Kraft	1:25:45_PM	2/2/2019	41771	good	93.9	Lysis_first	ERS16366144	sample processed and sequenced
SCSMPQ	TTAPUR	0.6864	Hanna_Emanuelsson	7:27:08_PM	2/3/2019	Hanna_Emanuelsson	1:07:33_PM	30/3/2019	39940	good	85.6	Lysis_first	ERS16366145	sample processed and sequenced
S5EAYT	TIAIK1	4.7494	Jan_Nilsson	1:51:37_PM	27/7/2019	Jan_Nilsson	3:33:08_PM	2/8/2019	8742	good	94	Lysis_first	ERS16366146	sample processed and sequenced
S63ZRT	TM9NNJ	2.7204	John_Persson	9:10:18_AM	3/8/2019	John_Persson	1:23:11_PM	10/8/2019	10333	good	94.1	Lysis_first	ERS16366147	sample processed and sequenced
SRMEWR	TNGTPF	1.6354	Jan_Nilsson	2:46:52_PM	6/9/2019	Jan_Nilsson	4:16:28_PM	13/9/2019	10170	good	94.8	Lysis_first	ERS16366148	sample processed and sequenced
SXQD36	TIAIK1	10.5664	Richard_Olofsson	9:47:54_AM	16/6/2019	Jan_Nilsson	9:40:33_AM	23/6/2019	10073	good	92.8	Lysis_first	ERS16366149	sample processed and sequenced
SBTZSW	TNGTPF	8.5964	Richard_Olofsson	10:27:54_AM	16/6/2019	Jan_Nilsson	10:16:36_AM	23/6/2019	10069	good	93.9	Lysis_first	ERS16366150	sample processed and sequenced
S45EBV	TIRXWF	4.0334	Jan_Nilsson	4:41:10_PM	2/8/2019	Jan_Nilsson	4:59:24_PM	9/8/2019	10098	good	94.6	Lysis_first	ERS16366151	sample processed and sequenced
SQ86TF	TRXMCY	2.4624	Jan_Nilsson	11:47:12_AM	30/11/2019	Jan_Nilsson	2:36:26_PM	21/12/2019	30409	acceptable	89.9	Lysis_first	ERS16366152	sample processed and sequenced
S2BKVJ	T2LIWT	5.5374	Johan_Martinelli	10:32:00_AM	13/7/2019	Johan_Martinelli	10:23:00_AM	20/7/2019	10071	good	93	Lysis_first	ERS16366153	sample processed and sequenced
S7HDLS	TSJUPI	3.6884	Haldor_Lorimer-Olsson	9:55:00_AM	27/7/2019	Haldor_Lorimer-Olsson	9:29:00_AM	3/8/2019	10054	acceptable	88.8	Lysis_first	ERS16366154	sample processed and sequenced
SB16DN	TRNGSD	2.2144	Johan_Martinelli	1:15:00_PM	29/6/2019	Johan_Martinelli	11:30:00_AM	6/7/2019	9975	poor	47.7	Lysis_first	ERS16366155	sample processed and sequenced
SDUR1L	THFUHH	8.9294	Anders_Borgehed	9:58:27_AM	17/8/2019	Anders_Borgehed	12:16:21_PM	24/8/2019	10218	good	93.8	Lysis_last	ERS16366156	sample processed and sequenced
